created_at;edit_history_tweet_ids;id;text;score
2022-10-17T15:22:25.000Z;['1582029271799070721'];1582029271799070721;RT @VDemokratie: Die #Gruenen verschenken auf dem #bdk22 Pflanzen, die ihren Ursprung in #Brasilien haben. Diese sind schwer zu pflegen und…;-0.0772
2022-10-17T15:22:23.000Z;['1582029261304524801'];1582029261304524801;"RT @FPOE_Raaba: Diese #Asylkrise trägt auch zu 50 Prozent die Handschrift der #Grünen! 
#ÖVP
#Nehammer
#Kogler
#Migranten https://t.co/X5bh…";0.0
2022-10-17T15:22:12.000Z;['1582029216949841921'];1582029216949841921;"@CSchwenniger @florianklenk @ArminWolf @KernChri @GNiederm Ich Akzeptiere deine Meinung!  Wie schon zuvor geschrieben, in einer #SPÖ kannst du nur verdorben werden!😬

@SPOE_at

Silberstein-Affäre  2017 bis 2001
Dr. Heinrich Gross-Affäre NS-Täter 1945 - 2005*
Lucona-Affäre 1977 bis 1992
Kindesmissbrauch-Affäre der 60er 70er Jahre";Nan
2022-10-17T15:21:04.000Z;['1582028930395279360'];1582028930395279360;"RT @ashr61: SKANDAL: Warum wird uns verschwiegen! #CDU, #SPD, #FDP und #Grüne wollen Deutschland vernichten.
Anders ist es nicht zu erkläre…";-0.8452
2022-10-17T15:20:33.000Z;['1582028802649382918'];1582028802649382918;RT @AfDLindemann: #Grüne sind jetzt Kriegspartei. Gestern hat der Bundesparteitag der Grünen für Waffenlieferungen in fie #Ukraine gestimmt…;0.0
2022-10-17T15:19:59.000Z;['1582028660496007171'];1582028660496007171;"Früher: #Grüne liefern keine Waffen, weil sie Friedenspartei sind. Jetzt #Waffenlieferungen, weil Friedenspartei.
Widersprüchlicher geht es nicht mehr.";-0.3818
2022-10-17T15:19:49.000Z;['1582028614866178048'];1582028614866178048;RT @W_Munny001: @julia_jusa1 Ja klar, siehe #Ampel/#Grüne;0.3182
2022-10-17T15:18:21.000Z;['1582028245905461252'];1582028245905461252;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:16:44.000Z;['1582027841184878604'];1582027841184878604;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:16:34.000Z;['1582027799585751041'];1582027799585751041;@BlocknixBibi @buehel @volkspartei @diegruenen Das sagt nur noch Pameler. #SPÖ;0.0
2022-10-17T15:16:20.000Z;['1582027739137466371'];1582027739137466371;RT @freeyourmindnic: 🧨Verrat im EU-Parlament: Antrag auf dauerhafte Aufgabe von Nord Stream I und II beschlossen❗️#CDU, #SPD, #FDP und #Grü…;0.2732
2022-10-17T15:16:10.000Z;['1582027698779852802'];1582027698779852802;RT @PeterBorbe: Jeder glaubt, wenn die #Ampelkoalition zerbricht, dann kommt sicher Jamaika. Wenn der Grund aber ein totales Zerwürfnis zwi…;-0.1027
2022-10-17T15:15:45.000Z;['1582027592122580994'];1582027592122580994;"#getjolted #joltcoffee #jolt #coffeeshop #espresso #newbraunfelstx #universalcitytx #sanmarcostx #seguintx #sanantoniotx ⁠#usaf #randolphafb⁠ #specialtycoffee #utsa #jbsa 
#localcoffee #coffee #coffeelover #local #caffeine #militarycity #gruene #schertz  #boerne #cibolo https://t.co/X4mvejMqcB";Nan
2022-10-17T15:13:49.000Z;['1582027107970224128'];1582027107970224128;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:13:48.000Z;['1582027100835708928'];1582027100835708928;Mit dieser #Zelt Aktion lassen nun auch die #Grüne|n endgültig ALLE MASKEN FALLEN.;-0.3885
2022-10-17T15:13:37.000Z;['1582027054291111936'];1582027054291111936;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:13:35.000Z;['1582027047714533378'];1582027047714533378;RT @ZynikerTh: Da weiß man doch, um wen man künftig einen großen Bogen macht. #Grüne #Parteitag #Sponsoren https://t.co/k0SPx4Rf6G;0.5423
2022-10-17T15:13:16.000Z;['1582026968861904896'];1582026968861904896;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:12:35.000Z;['1582026795117084672'];1582026795117084672;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:11:20.000Z;['1582026481189892096'];1582026481189892096;jeder #Grüne muss einen Flüchtling bei sich zu Hause aufnehmen und versorgen. https://t.co/rM1ZVkR2Cq;-0.4767
2022-10-17T15:10:56.000Z;['1582026379679264768'];1582026379679264768;"RT @MieruchMario: #Gruene haben Doppelmoral durchgespielt und den Endgegner weggeschnupft, als hätte man das Level vergessen. 
#bdk22 https…";0.0
2022-10-17T15:10:29.000Z;['1582026268983250944'];1582026268983250944;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:09:43.000Z;['1582026074556616705'];1582026074556616705;RT @christian_kott: Wenn der #OERR mit der Propaganda-Zwangsumlage nicht 24/7 gratis-Wahlwerbung für #Gruene machen würde hätten die #Gruen…;0.0
2022-10-17T15:09:38.000Z;['1582026053417304070'];1582026053417304070;"RT @PhilMuhr: Nachtrag, 
In Sachen Nachhaltigkeit ist Österreich sogar Letzter!! 
#StopLyingToUs #oevp #spoe 
#pensionen";0.5837
2022-10-17T15:09:08.000Z;['1582025926442770433'];1582025926442770433;"RT @ashr61: SKANDAL: Warum wird uns verschwiegen! #CDU, #SPD, #FDP und #Grüne wollen Deutschland vernichten.
Anders ist es nicht zu erkläre…";-0.8452
2022-10-17T15:09:03.000Z;['1582025907489091584'];1582025907489091584;#Grüne dampften auf Parteitag mit aller Energie den grünen Kohl neu auf.Obwohl fast völlig losgelöst vom Irdischen,lobpreisen sie sich als staatstragend.Indem sie unseren Staat im Sarg zu Grabe tragen, stellen sie sich  tatsächlich den Realitäten.;0.4404
2022-10-17T15:08:48.000Z;['1582025844213837831'];1582025844213837831;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:08:20.000Z;['1582025724667473920'];1582025724667473920;RT @Axel_Steier: 6 Jahre für @giz_gmbh gearbeitet, Hazara, Frau, verfolgt von Taliban – Aufnahme abgelehnt von der Bundesregierung. Danke f…;0.1531
2022-10-17T15:07:52.000Z;['1582025608598818816'];1582025608598818816;"Österreich längst schon in Geiselhaft der Grünen...
Kanzlerdarsteller, Ex-Offizier Nehammer als Hanswurst von Kogler wie sich herausstellte.
Gratulation an ÖVP. 
#heute #oe24 #Kurier #Volkspartei #FPÖ 
https://t.co/QeTFoHR9wQ";0.5574
2022-10-17T15:07:46.000Z;['1582025582807687168'];1582025582807687168;"Nachtrag, 
In Sachen Nachhaltigkeit ist Österreich sogar Letzter!! 
#StopLyingToUs #oevp #spoe 
#pensionen https://t.co/YVSMldT41j";0.5837
2022-10-17T15:07:37.000Z;['1582025544639840257'];1582025544639840257;"RT @ashr61: SKANDAL: Warum wird uns verschwiegen! #CDU, #SPD, #FDP und #Grüne wollen Deutschland vernichten.
Anders ist es nicht zu erkläre…";-0.8452
2022-10-17T15:07:18.000Z;['1582025465929551873'];1582025465929551873;"Diese #Asylkrise trägt auch zu 50 Prozent die Handschrift der #Grünen! 
#ÖVP
#Nehammer
#Kogler
#Migranten https://t.co/X5bh5P57Og";0.0
2022-10-17T15:07:03.000Z;['1582025401798627329'];1582025401798627329;"Wenn der #OERR mit der Propaganda-Zwangsumlage nicht 24/7 gratis-Wahlwerbung für #Gruene machen würde hätten die #Gruenen bei jeder Wahl in Deutschland Probleme mit der 5%-Hürde.

Eigentlich ist das eine Form der illegalen Parteienfinanzierung.";-0.5574
